Machine_Name,Machine_Status,Start_Dttm,End_Dttm,Duration,Error_Code,Stop_Reason
4F_T#26,Stop,2021-10-15 03:49:03,2021-10-15 03:51:15,132.0,N.A,Pending load
4F_T#26,Stop,2021-10-15 07:00:40,2021-10-15 07:15:55,848.0,N.A,NORMALCLEANING
4F_T#26,Stop,2021-10-15 07:14:48,2021-10-15 07:14:48,67.0,N.A,MA Waiting
4F_T#26,Stop,2021-10-15 09:54:51,2021-10-15 09:56:01,70.0,N.A,Pending load
4F_T#26,Stop,2021-10-15 10:13:19,2021-10-15 10:13:25,6.0,N.A,Pending load
4F_T#26,Stop,2021-10-15 11:08:32,2021-10-15 11:09:03,31.0,N.A,Pending load
4F_T#26,Stop,2021-10-15 14:18:51,2021-10-15 14:34:42,931.0,N.A,NORMALCLEANING
4F_T#26,Stop,2021-10-15 14:34:22,2021-10-15 14:34:22,20.0,N.A,MA Waiting
4F_T#26,Stop,2021-10-15 18:57:27,2021-10-15 19:03:19,335.0,N.A,NORMALCLEANING
4F_T#26,Stop,2021-10-15 19:03:02,2021-10-15 19:03:02,17.0,N.A,MA Waiting
4F_T#26,Stop,2021-10-15 20:03:23,2021-10-15 20:06:48,199.0,N.A,NORMALCLEANING
4F_T#26,Stop,2021-10-15 20:06:42,2021-10-15 20:06:42,6.0,N.A,MA Waiting
4F_T#26,Stop,2021-10-15 20:21:31,2021-10-15 20:22:53,82.0,N.A,Pending load
4F_T#26,Stop,2021-10-15 23:44:54,2021-10-15 23:45:08,14.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 00:00:59,2021-10-16 00:05:35,276.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 00:35:13,2021-10-16 00:35:43,30.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 00:55:04,2021-10-16 00:55:16,12.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 01:24:32,2021-10-16 01:34:09,577.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 01:52:07,2021-10-16 01:53:09,56.0,N.A,NORMALCLEANING
4F_T#26,Stop,2021-10-16 01:53:03,2021-10-16 01:53:03,6.0,N.A,MA Waiting
4F_T#26,Stop,2021-10-16 02:49:28,2021-10-16 02:49:53,25.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 03:26:37,2021-10-16 03:30:31,234.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 03:59:38,2021-10-16 04:00:22,44.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 04:55:09,2021-10-16 04:55:52,43.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 07:18:23,2021-10-16 07:32:35,845.0,N.A,NORMALCLEANING
4F_T#26,Stop,2021-10-16 07:32:28,2021-10-16 07:32:28,7.0,N.A,MA Waiting
4F_T#26,Stop,2021-10-16 07:42:28,2021-10-16 07:49:39,431.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 10:00:24,2021-10-16 10:03:12,168.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 10:49:03,2021-10-16 10:50:24,81.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 14:25:39,2021-10-16 14:26:52,40.0,N.A,NORMALCLEANING
4F_T#26,Stop,2021-10-16 14:26:19,2021-10-16 14:26:19,33.0,N.A,MA Waiting
4F_T#26,Stop,2021-10-16 14:39:22,2021-10-16 14:39:29,7.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 16:08:37,2021-10-16 16:08:44,7.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 19:52:25,2021-10-16 19:56:19,234.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 20:28:11,2021-10-16 20:32:47,276.0,N.A,Pending load
4F_T#26,Stop,2021-10-16 20:48:14,2021-10-16 20:48:45,31.0,N.A,Pending load
4F_T#26,Stop,2021-10-17 00:33:34,2021-10-17 00:34:26,32.0,N.A,NORMALCLEANING
4F_T#26,Stop,2021-10-17 00:34:06,2021-10-17 00:34:06,20.0,N.A,MA Waiting
4F_T#26,Stop,2021-10-17 00:38:30,2021-10-17 00:44:32,120.0,N.A,NORMALCLEANING
4F_T#26,Stop,2021-10-17 00:40:30,2021-10-17 00:40:30,242.0,N.A,MA Waiting
4F_T#26,Stop,2021-10-17 01:24:39,2021-10-17 01:26:15,96.0,N.A,Pending load
4F_T#26,Stop,2021-10-17 01:51:08,2021-10-17 01:51:14,6.0,N.A,Pending load
4F_T#26,Stop,2021-10-17 01:58:36,2021-10-17 01:59:24,48.0,N.A,Pending load
4F_T#26,Stop,2021-10-17 02:47:26,2021-10-17 02:48:09,43.0,N.A,Pending load
4F_T#26,Stop,2021-10-17 07:17:30,2021-10-17 07:18:24,54.0,N.A,Pending load
4F_T#26,Stop,2021-10-17 07:35:35,2021-10-17 07:35:42,7.0,N.A,Pending load
4F_T#26,Stop,2021-10-17 08:49:03,2021-10-17 08:49:09,6.0,N.A,Pending load
4F_T#26,Stop,2021-10-17 09:42:28,2021-10-17 09:43:35,67.0,N.A,Pending load
